tickers,sentiment,sentiment_score,confidence,upvotes,created_at
META,buy,0.976,97.6,30,2025-03-12 14:08:50
AVGO,buy,0.9294,92.94,176,2025-03-12 13:20:48
"AI,IE,T,K,NVDA",buy,0.9714,97.14,41,2025-03-12 13:16:49
"U,TNA",buy,0.8942,89.42,39,2025-03-12 12:39:24
"SPY,DTE",buy,0.9437,94.37,129,2025-03-12 10:27:22
CPI,buy,0.6486,64.86,714,2025-03-12 08:33:16
"CPI,TSLA",neutral,0.1206,12.06,257,2025-03-12 05:57:32
"GM,AMD,EU",sell,-0.3296,32.96,776,2025-03-12 01:51:23
AI,buy,0.9068,90.68,23,2025-03-12 01:44:56
"TSLA,K",buy,0.4357,43.57,203,2025-03-12 01:03:02
AMD,buy,0.7418,74.18,234,2025-03-12 00:00:02
SPY,buy,0.9092,90.92,592,2025-03-11 23:23:30
RKLB,buy,0.8905,89.05,156,2025-03-11 23:00:18
NVDA,buy,0.2824,28.24,3421,2025-03-11 20:48:05
NVDA,buy,0.8126,81.26,103,2025-03-11 20:17:24
"SPY,CPI,RH",buy,0.6946,69.46,133,2025-03-11 18:34:40
E,buy,0.6537,65.36999999999999,0,2025-03-11 16:55:05
